,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
497,2012-06-20,9.745087444783726,-54.067278534334264,59.448225430797024,9.745087444783726,9.745087444783726,-10.954212460119457,-10.954212460119457,-10.954212460119457,-0.17967112601324425,-0.17967112601324425,-0.17967112601324425,-10.774541334106212,-10.774541334106212,-10.774541334106212,0.0,0.0,0.0,-1.2091250153357311
498,2012-06-21,9.756091205233862,-62.77154509462417,56.16852662366862,9.756091205233862,9.756091205233862,-11.092648426835739,-11.092648426835739,-11.092648426835739,-0.6562877815453423,-0.6562877815453423,-0.6562877815453423,-10.436360645290398,-10.436360645290398,-10.436360645290398,0.0,0.0,0.0,-1.3365572216018773
499,2012-06-22,9.767094965683995,-57.27098303220423,59.12854375432043,9.767094965683995,9.767094965683995,-11.121990231345737,-11.121990231345737,-11.121990231345737,-1.0535156581775813,-1.0535156581775813,-1.0535156581775813,-10.068474573168157,-10.068474573168157,-10.068474573168157,0.0,0.0,0.0,-1.3548952656617423
500,2012-06-25,9.8001062470344,-55.0428359634726,56.64137287642836,9.8001062470344,9.8001062470344,-9.014138798741929,-9.014138798741929,-9.014138798741929,-0.21081261080130229,-0.21081261080130229,-0.21081261080130229,-8.803326187940625,-8.803326187940625,-8.803326187940625,0.0,0.0,0.0,0.785967448292471
501,2012-06-26,9.811110007484533,-52.822853258045456,58.035814455424074,9.811110007484533,9.811110007484533,-8.675225409823842,-8.675225409823842,-8.675225409823842,-0.3374424043555795,-0.3374424043555795,-0.3374424043555795,-8.33778300546826,-8.33778300546826,-8.33778300546826,0.0,0.0,0.0,1.1358845976606915
502,2012-06-27,9.822113767934667,-51.63636518059862,59.2139218488136,9.822113767934667,9.822113767934667,-8.03701409139757,-8.03701409139757,-8.03701409139757,-0.1796711260142544,-0.1796711260142544,-0.1796711260142544,-7.857342965383314,-7.857342965383314,-7.857342965383314,0.0,0.0,0.0,1.7850996765370972
503,2012-06-28,9.833117528384802,-54.86161642423099,57.48127691548538,9.833117528384802,9.833117528384802,-8.0235292232079,-8.0235292232079,-8.0235292232079,-0.6562877815459707,-0.6562877815459707,-0.6562877815459707,-7.36724144166193,-7.36724144166193,-7.36724144166193,0.0,0.0,0.0,1.8095883051769022
504,2012-06-29,9.844121288834938,-53.884572639741336,55.25370668505411,9.844121288834938,9.844121288834938,-7.926752180725165,-7.926752180725165,-7.926752180725165,-1.053515658176539,-1.053515658176539,-1.053515658176539,-6.873236522548627,-6.873236522548627,-6.873236522548627,0.0,0.0,0.0,1.9173691081097726
505,2012-07-02,9.87713257018534,-55.57774630511007,65.07918270794143,9.87713257018534,9.87713257018534,-5.64107812970151,-5.64107812970151,-5.64107812970151,-0.21081261079840372,-0.21081261079840372,-0.21081261079840372,-5.430265518903107,-5.430265518903107,-5.430265518903107,0.0,0.0,0.0,4.23605444048383
506,2012-07-03,9.888136330635474,-53.15899769878022,60.63621237964569,9.888136330635474,9.888136330635474,-5.32110590618566,-5.32110590618566,-5.32110590618566,-0.3374424043547686,-0.3374424043547686,-0.3374424043547686,-4.983663501830891,-4.983663501830891,-4.983663501830891,0.0,0.0,0.0,4.567030424449814
507,2012-07-05,9.910143851535743,-55.61259657562145,62.23912945749983,9.910143851535743,9.910143851535743,-4.835290163277143,-4.835290163277143,-4.835290163277143,-0.6562877815441854,-0.6562877815441854,-0.6562877815441854,-4.179002381732958,-4.179002381732958,-4.179002381732958,0.0,0.0,0.0,5.0748536882586
508,2012-07-06,9.921147611985877,-54.06661476373555,62.94398106601095,9.921147611985877,9.921147611985877,-4.885404995748174,-4.885404995748174,-4.885404995748174,-1.0535156581754972,-1.0535156581754972,-1.0535156581754972,-3.8318893375726772,-3.8318893375726772,-3.8318893375726772,0.0,0.0,0.0,5.035742616237703
509,2012-07-09,9.95415889333628,-50.07692386640478,64.57199925965111,9.95415889333628,9.95415889333628,-3.2738675059652618,-3.2738675059652618,-3.2738675059652618,-0.2108126108013747,-0.2108126108013747,-0.2108126108013747,-3.063054895163887,-3.063054895163887,-3.063054895163887,0.0,0.0,0.0,6.6802913873710175
510,2012-07-10,9.965162653786415,-53.42854421046052,64.40800093410361,9.965162653786415,9.965162653786415,-3.2444757321326367,-3.2444757321326367,-3.2444757321326367,-0.3374424043539577,-0.3374424043539577,-0.3374424043539577,-2.907033327778679,-2.907033327778679,-2.907033327778679,0.0,0.0,0.0,6.720686921653778
511,2012-07-11,9.976166414236548,-51.10363125302299,61.73544977591462,9.976166414236548,9.976166414236548,-2.9830990324444904,-2.9830990324444904,-2.9830990324444904,-0.17967112601402785,-0.17967112601402785,-0.17967112601402785,-2.8034279064304624,-2.8034279064304624,-2.8034279064304624,0.0,0.0,0.0,6.9930673817920574
512,2012-07-12,9.987170174686684,-55.06789446217681,60.52914923842353,9.987170174686684,9.987170174686684,-3.4083544549316693,-3.4083544549316693,-3.4083544549316693,-0.6562877815432403,-0.6562877815432403,-0.6562877815432403,-2.7520666733884287,-2.7520666733884287,-2.7520666733884287,0.0,0.0,0.0,6.578815719755014
513,2012-07-13,9.998173935136817,-53.256079461509906,63.58875414658955,9.998173935136817,9.998173935136817,-3.80524976988048,-3.80524976988048,-3.80524976988048,-1.0535156581774456,-1.0535156581774456,-1.0535156581774456,-2.7517341117030343,-2.7517341117030343,-2.7517341117030343,0.0,0.0,0.0,6.192924165256337
514,2012-07-16,10.03118521648722,-51.76369099233075,67.04938635246042,10.03118521648722,10.03118521648722,-3.2405859653320626,-3.2405859653320626,-3.2405859653320626,-0.21081261080099678,-0.21081261080099678,-0.21081261080099678,-3.0297733545310663,-3.0297733545310663,-3.0297733545310663,0.0,0.0,0.0,6.790599251155157
515,2012-07-17,10.042188976937355,-50.17324436285509,67.17774397275868,10.042188976937355,10.042188976937355,-3.539314819509597,-3.539314819509597,-3.539314819509597,-0.3374424043531468,-0.3374424043531468,-0.3374424043531468,-3.20187241515645,-3.20187241515645,-3.20187241515645,0.0,0.0,0.0,6.502874157427758
516,2012-07-18,10.053192737387489,-48.25735493147705,67.9748923014473,10.053192737387489,10.053192737387489,-3.5846037129724153,-3.5846037129724153,-3.5846037129724153,-0.17967112601287405,-0.17967112601287405,-0.17967112601287405,-3.4049325869595415,-3.4049325869595415,-3.4049325869595415,0.0,0.0,0.0,6.468589024415074
517,2012-07-19,10.064196497837623,-49.06114025631944,65.90082929258685,10.064196497837623,10.064196497837623,-4.289064917890185,-4.289064917890185,-4.289064917890185,-0.6562877815438687,-0.6562877815438687,-0.6562877815438687,-3.6327771363463164,-3.6327771363463164,-3.6327771363463164,0.0,0.0,0.0,5.775131579947438
518,2012-07-20,10.075200258287758,-51.66448593713375,63.890455827188305,10.075200258287758,10.075200258287758,-4.93231525698844,-4.93231525698844,-4.93231525698844,-1.0535156581760787,-1.0535156581760787,-1.0535156581760787,-3.878799598812361,-3.878799598812361,-3.878799598812361,0.0,0.0,0.0,5.142885001299318
519,2012-07-23,10.10821153963816,-53.65707698204005,63.55596026846995,10.10821153963816,10.10821153963816,-4.867364217724413,-4.867364217724413,-4.867364217724413,-0.21081261079809832,-0.21081261079809832,-0.21081261079809832,-4.656551606926314,-4.656551606926314,-4.656551606926314,0.0,0.0,0.0,5.240847321913748
